START DATE,END DATE,SUBJECT,LOCATION,START TIME (PT),START TIME (MT),START TIME (CT),START TIME (ET),END TIME (PT),END TIME (MT),END TIME (CT),END TIME (ET),Away,Home,Subject2,Away,Home,DESCRIPTION,SHOW TIME AS,CATEGORIES
3/28/2012,3/28/2012,MLB: Seattle Mariners @ Oakland Athletics,"Tokoyo Dome - Toyoko, Japan",3:10 AM,4:10 AM,5:10 AM,6:10 AM,6:10 AM,7:10 AM,8:10 AM,9:10 AM,Mariners,Athletics,Mariners @ Athletics,Seattle Mariners,Oakland Athletics,www.MySportsCal.com,FREE,MLB2012
3/29/2012,3/29/2012,MLB: Seattle Mariners @ Oakland Athletics,"Tokoyo Dome - Toyoko, Japan",2:10 AM,3:10 AM,4:10 AM,5:10 AM,5:10 AM,6:10 AM,7:10 AM,8:10 AM,Mariners,Athletics,Mariners @ Athletics,Seattle Mariners,Oakland Athletics,www.MySportsCal.com,FREE,MLB2012
4/4/2012,4/4/2012,MLB: St. Louis Cardinals @ Miami Marlins,"Marlins Park - Miami, FL",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,Cardinals,Marlins,Cardinals @ Marlins,St. Louis Cardinals,Miami Marlins,www.MySportsCal.com,FREE,MLB2012
4/5/2012,4/5/2012,MLB: Washington Nationals @ Chicago Cubs,"Wrigley Field - Chicago, IL",11:20 AM,12:20 PM,1:20 PM,2:20 PM,2:20 PM,3:20 PM,4:20 PM,5:20 PM,Nationals,Cubs,Nationals @ Cubs,Washington Nationals,Chicago Cubs,www.MySportsCal.com,FREE,MLB2012
4/5/2012,4/5/2012,MLB: Toronto Blue Jays @ Cleveland Indians,"Progressive Field - Cleveland, OH",12:05 PM,1:05 PM,2:05 PM,3:05 PM,3:05 PM,4:05 PM,5:05 PM,6:05 PM,Blue Jays,Indians,Blue Jays @ Indians,Toronto Blue Jays,Cleveland Indians,www.MySportsCal.com,FREE,MLB2012
4/5/2012,4/5/2012,MLB: Atlanta Braves @ New York Mets,"Citi Field - Flushing, NY",10:10 AM,11:10 AM,12:10 PM,1:10 PM,1:10 PM,2:10 PM,3:10 PM,4:10 PM,Braves,Mets,Braves @ Mets,Atlanta Braves,New York Mets,www.MySportsCal.com,FREE,MLB2012
4/5/2012,4/5/2012,MLB: Los Angeles Dodgers @ San Diego Padres,"Petco Park - San Diego, CA",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,Dodgers,Padres,Dodgers @ Padres,Los Angeles Dodgers,San Diego Padres,www.MySportsCal.com,FREE,MLB2012
4/5/2012,4/5/2012,MLB: Philadelphia Phillies @ Pittsburgh Pirates,"PNC Park - Pittsburgh, PA",10:35 AM,11:35 AM,12:35 PM,1:35 PM,1:35 PM,2:35 PM,3:35 PM,4:35 PM,Phillies,Pirates,Phillies @ Pirates,Philadelphia Phillies,Pittsburgh Pirates,www.MySportsCal.com,FREE,MLB2012
4/5/2012,4/5/2012,MLB: Miami Marlins @ Cincinnati Reds,"Great American Ball  Park - Cincinnati, OH",1:05 PM,2:05 PM,3:05 PM,4:05 PM,4:05 PM,5:05 PM,6:05 PM,7:05 PM,Marlins,Reds,Marlins @ Reds,Miami Marlins,Cincinnati Reds,www.MySportsCal.com,FREE,MLB2012
4/5/2012,4/5/2012,MLB: Boston Red Sox @ Detroit Tigers,"Comerica Park - Detroit, MI",10:05 AM,11:05 AM,12:05 PM,1:05 PM,1:05 PM,2:05 PM,3:05 PM,4:05 PM,Red Sox,Tigers,Red Sox @ Tigers,Boston Red Sox,Detroit Tigers,www.MySportsCal.com,FREE,MLB2012
4/6/2012,4/6/2012,MLB: Kansas City Royals @ Los Angeles Angels,"Angel Stadium - Los Angeles, CA",7:05 PM,8:05 PM,9:05 PM,10:05 PM,10:05 PM,11:05 PM,11:59 PM,11:59 PM,Royals,Angels,Royals @ Angels,Kansas City Royals,Los Angeles Angels,www.MySportsCal.com,FREE,MLB2012
4/6/2012,4/6/2012,MLB: Colorado Rockies @ Houston Astros,"Minute Maid Park - Houston, TX",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,Rockies,Astros,Rockies @ Astros,Colorado Rockies,Houston Astros,www.MySportsCal.com,FREE,MLB2012
4/6/2012,4/6/2012,MLB: Seattle Mariners @ Oakland Athletics,"Oakland Coliseum - Oakland, CA",7:05 PM,8:05 PM,9:05 PM,10:05 PM,10:05 PM,11:05 PM,11:59 PM,11:59 PM,Mariners,Athletics,Mariners @ Athletics,Seattle Mariners,Oakland Athletics,www.MySportsCal.com,FREE,MLB2012
4/6/2012,4/6/2012,MLB: St. Louis Cardinals @ Milwaukee Brewers,"Miller Park - Milwaukee, WI",1:10 PM,2:10 PM,3:10 PM,4:10 PM,4:10 PM,5:10 PM,6:10 PM,7:10 PM,Cardinals,Brewers,Cardinals @ Brewers,St. Louis Cardinals,Milwaukee Brewers,www.MySportsCal.com,FREE,MLB2012
4/6/2012,4/6/2012,MLB: San Francisco Giants @ Arizona Diamondbacks,"Chase Field - Phoenix, AZ",4:10 PM,5:10 PM,6:10 PM,7:10 PM,7:10 PM,8:10 PM,9:10 PM,10:10 PM,Giants,D-backs,Giants @ D-backs,San Francisco Giants,Arizona Diamondbacks,www.MySportsCal.com,FREE,MLB2012
4/6/2012,4/6/2012,MLB: Minnesota Twins @ Baltimore Orioles,"Camden Yards - Baltimore, MD",12:05 PM,1:05 PM,2:05 PM,3:05 PM,3:05 PM,4:05 PM,5:05 PM,6:05 PM,Twins,Orioles,Twins @ Orioles,Minnesota Twins,Baltimore Orioles,www.MySportsCal.com,FREE,MLB2012
4/6/2012,4/6/2012,MLB: Los Angeles Dodgers @ San Diego Padres,"Petco Park - San Diego, CA",7:05 PM,8:05 PM,9:05 PM,10:05 PM,10:05 PM,11:05 PM,11:59 PM,11:59 PM,Dodgers,Padres,Dodgers @ Padres,Los Angeles Dodgers,San Diego Padres,www.MySportsCal.com,FREE,MLB2012
4/6/2012,4/6/2012,MLB: Chicago White Sox @ Texas Rangers,"Rangers Ballpark - Arlington, TX",11:05 AM,12:05 PM,1:05 PM,2:05 PM,2:05 PM,3:05 PM,4:05 PM,5:05 PM,White Sox,Rangers,White Sox @ Rangers,Chicago White Sox,Texas Rangers,www.MySportsCal.com,FREE,MLB2012
4/6/2012,4/6/2012,MLB: New York Yankees @ Tampa Bay Rays,"Tropicana Field - St. Petersburg, FL",12:10 PM,1:10 PM,2:10 PM,3:10 PM,3:10 PM,4:10 PM,5:10 PM,6:10 PM,Yankees,Rays,Yankees @ Rays,New York Yankees,Tampa Bay Rays,www.MySportsCal.com,FREE,MLB2012
4/7/2012,4/7/2012,MLB: Kansas City Royals @ Los Angeles Angels,"Angel Stadium - Los Angeles, CA",1:05 PM,2:05 PM,3:05 PM,4:05 PM,4:05 PM,5:05 PM,6:05 PM,7:05 PM,Royals,Angels,Royals @ Angels,Kansas City Royals,Los Angeles Angels,www.MySportsCal.com,FREE,MLB2012
4/7/2012,4/7/2012,MLB: Colorado Rockies @ Houston Astros,"Minute Maid Park - Houston, TX",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,Rockies,Astros,Rockies @ Astros,Colorado Rockies,Houston Astros,www.MySportsCal.com,FREE,MLB2012
4/7/2012,4/7/2012,MLB: Seattle Mariners @ Oakland Athletics,"Oakland Coliseum - Oakland, CA",6:05 PM,7:05 PM,8:05 PM,9:05 PM,9:05 PM,10:05 PM,11:05 PM,11:59 PM,Mariners,Athletics,Mariners @ Athletics,Seattle Mariners,Oakland Athletics,www.MySportsCal.com,FREE,MLB2012
4/7/2012,4/7/2012,MLB: St. Louis Cardinals @ Milwaukee Brewers,"Miller Park - Milwaukee, WI",1:05 PM,2:05 PM,3:05 PM,4:05 PM,4:05 PM,5:05 PM,6:05 PM,7:05 PM,Cardinals,Brewers,Cardinals @ Brewers,St. Louis Cardinals,Milwaukee Brewers,www.MySportsCal.com,FREE,MLB2012
4/7/2012,4/7/2012,MLB: Washington Nationals @ Chicago Cubs,"Wrigley Field - Chicago, IL",10:05 AM,11:05 AM,12:05 PM,1:05 PM,1:05 PM,2:05 PM,3:05 PM,4:05 PM,Nationals,Cubs,Nationals @ Cubs,Washington Nationals,Chicago Cubs,www.MySportsCal.com,FREE,MLB2012
4/7/2012,4/7/2012,MLB: San Francisco Giants @ Arizona Diamondbacks,"Chase Field - Phoenix, AZ",1:10 PM,2:10 PM,3:10 PM,4:10 PM,4:10 PM,5:10 PM,6:10 PM,7:10 PM,Giants,D-backs,Giants @ D-backs,San Francisco Giants,Arizona Diamondbacks,www.MySportsCal.com,FREE,MLB2012
4/7/2012,4/7/2012,MLB: Toronto Blue Jays @ Cleveland Indians,"Progressive Field - Cleveland, OH",10:05 AM,11:05 AM,12:05 PM,1:05 PM,1:05 PM,2:05 PM,3:05 PM,4:05 PM,Blue Jays,Indians,Blue Jays @ Indians,Toronto Blue Jays,Cleveland Indians,www.MySportsCal.com,FREE,MLB2012
4/7/2012,4/7/2012,MLB: Atlanta Braves @ New York Mets,"Citi Field - Flushing, NY",10:10 AM,11:10 AM,12:10 PM,1:10 PM,1:10 PM,2:10 PM,3:10 PM,4:10 PM,Braves,Mets,Braves @ Mets,Atlanta Braves,New York Mets,www.MySportsCal.com,FREE,MLB2012
4/7/2012,4/7/2012,MLB: Minnesota Twins @ Baltimore Orioles,"Camden Yards - Baltimore, MD",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,Twins,Orioles,Twins @ Orioles,Minnesota Twins,Baltimore Orioles,www.MySportsCal.com,FREE,MLB2012
4/7/2012,4/7/2012,MLB: Los Angeles Dodgers @ San Diego Padres,"Petco Park - San Diego, CA",5:35 PM,6:35 PM,7:35 PM,8:35 PM,8:35 PM,9:35 PM,10:35 PM,11:35 PM,Dodgers,Padres,Dodgers @ Padres,Los Angeles Dodgers,San Diego Padres,www.MySportsCal.com,FREE,MLB2012
4/7/2012,4/7/2012,MLB: Philadelphia Phillies @ Pittsburgh Pirates,"PNC Park - Pittsburgh, PA",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,Phillies,Pirates,Phillies @ Pirates,Philadelphia Phillies,Pittsburgh Pirates,www.MySportsCal.com,FREE,MLB2012
4/7/2012,4/7/2012,MLB: Chicago White Sox @ Texas Rangers,"Rangers Ballpark - Arlington, TX",5:05 PM,6:05 PM,7:05 PM,8:05 PM,8:05 PM,9:05 PM,10:05 PM,11:05 PM,White Sox,Rangers,White Sox @ Rangers,Chicago White Sox,Texas Rangers,www.MySportsCal.com,FREE,MLB2012
4/7/2012,4/7/2012,MLB: New York Yankees @ Tampa Bay Rays,"Tropicana Field - St. Petersburg, FL",4:10 PM,5:10 PM,6:10 PM,7:10 PM,7:10 PM,8:10 PM,9:10 PM,10:10 PM,Yankees,Rays,Yankees @ Rays,New York Yankees,Tampa Bay Rays,www.MySportsCal.com,FREE,MLB2012
4/7/2012,4/7/2012,MLB: Miami Marlins @ Cincinnati Reds,"Great American Ball  Park - Cincinnati, OH",4:10 PM,5:10 PM,6:10 PM,7:10 PM,7:10 PM,8:10 PM,9:10 PM,10:10 PM,Marlins,Reds,Marlins @ Reds,Miami Marlins,Cincinnati Reds,www.MySportsCal.com,FREE,MLB2012
4/7/2012,4/7/2012,MLB: Boston Red Sox @ Detroit Tigers,"Comerica Park - Detroit, MI",1:05 PM,2:05 PM,3:05 PM,4:05 PM,4:05 PM,5:05 PM,6:05 PM,7:05 PM,Red Sox,Tigers,Red Sox @ Tigers,Boston Red Sox,Detroit Tigers,www.MySportsCal.com,FREE,MLB2012
4/8/2012,4/8/2012,MLB: Kansas City Royals @ Los Angeles Angels,"Angel Stadium - Los Angeles, CA",12:35 PM,1:35 PM,2:35 PM,3:35 PM,3:35 PM,4:35 PM,5:35 PM,6:35 PM,Royals,Angels,Royals @ Angels,Kansas City Royals,Los Angeles Angels,www.MySportsCal.com,FREE,MLB2012
4/8/2012,4/8/2012,MLB: Colorado Rockies @ Houston Astros,"Minute Maid Park - Houston, TX",11:05 AM,12:05 PM,1:05 PM,2:05 PM,2:05 PM,3:05 PM,4:05 PM,5:05 PM,Rockies,Astros,Rockies @ Astros,Colorado Rockies,Houston Astros,www.MySportsCal.com,FREE,MLB2012
4/8/2012,4/8/2012,MLB: St. Louis Cardinals @ Milwaukee Brewers,"Miller Park - Milwaukee, WI",11:10 AM,12:10 PM,1:10 PM,2:10 PM,2:10 PM,3:10 PM,4:10 PM,5:10 PM,Cardinals,Brewers,Cardinals @ Brewers,St. Louis Cardinals,Milwaukee Brewers,www.MySportsCal.com,FREE,MLB2012
4/8/2012,4/8/2012,MLB: Washington Nationals @ Chicago Cubs,"Wrigley Field - Chicago, IL",11:20 AM,12:20 PM,1:20 PM,2:20 PM,2:20 PM,3:20 PM,4:20 PM,5:20 PM,Nationals,Cubs,Nationals @ Cubs,Washington Nationals,Chicago Cubs,www.MySportsCal.com,FREE,MLB2012
